model,task,metric,value
Granite 3.1 MoE 3B,4,em_sentiment,87.21649484536083
Granite 3.1 MoE 3B,4,em_emotion,10.721649484536082
Granite 3.1 MoE 3B,5,json_em,97.2
Granite 3.1 MoE 3B,5,bleu_translate,13.26495824366403
Granite 3.1 MoE 3B,5,em_sentiment,87.65432098765432
Granite 3.1 MoE 3B,5,em_emotion,3.292181069958848
Granite 3.1 MoE 3B,5,em_topic,17.48971193415638
Granite 3.1 MoE 3B,6,json_em,91.6
Granite 3.1 MoE 3B,6,bleu_translate,13.871363047343989
Granite 3.1 MoE 3B,6,em_sentiment,85.1528384279476
Granite 3.1 MoE 3B,6,em_emotion,4.148471615720524
Granite 3.1 MoE 3B,6,em_topic,8.078602620087336
Granite 3.1 MoE 3B,6,f1_ner,32.64565467873464
