,model,ner_f1_w_test_p_value,ner_f1_multi_task_saphiro_p_value,ner_f1_single_task_saphiro_p_value,review_bleu_w_test_p_value,review_bleu_multi_task_saphiro_p_value,review_bleu_single_task_saphiro_p_value,sentiment_score_mcnemar_p_value,sentiment_multi_task_saphiro_p_value,sentiment_single_task_saphiro_p_value,score_w_test_p_value,score_multi_task_saphiro_p_value,score_single_task_saphiro_p_value,single_call_mean_score,multi_call_mean_score,single_call_max_score,multi_call_max_score,single_call_min_score,multi_call_min_score,single_call_std_score,multi_call_std_score,single_call_mean_review_score,multi_call_mean_review_score,single_call_max_review_score,multi_call_max_review_score,single_call_min_review_score,multi_call_min_review_score,single_call_std_review_score,multi_call_std_review_score,single_call_mean_sentiment_score,multi_call_mean_sentiment_score,single_call_max_sentiment_score,multi_call_max_sentiment_score,single_call_min_sentiment_score,multi_call_min_sentiment_score,single_call_std_sentiment_score,multi_call_std_sentiment_score,single_call_mean_ner_accuracy,multi_call_mean_ner_accuracy,single_call_max_ner_accuracy,multi_call_max_ner_accuracy,single_call_min_ner_accuracy,multi_call_min_ner_accuracy,single_call_std_ner_accuracy,multi_call_std_ner_accuracy,single_call_mean_ner_precision,multi_call_mean_ner_precision,single_call_max_ner_precision,multi_call_max_ner_precision,single_call_min_ner_precision,multi_call_min_ner_precision,single_call_std_ner_precision,multi_call_std_ner_precision,single_call_mean_ner_recall,multi_call_mean_ner_recall,single_call_max_ner_recall,multi_call_max_ner_recall,single_call_min_ner_recall,multi_call_min_ner_recall,single_call_std_ner_recall,multi_call_std_ner_recall,single_call_mean_ner_f1,multi_call_mean_ner_f1,single_call_max_ner_f1,multi_call_max_ner_f1,single_call_min_ner_f1,multi_call_min_ner_f1,single_call_std_ner_f1,multi_call_std_ner_f1
0,deepseek-r1_8b,1.1329950808936587e-87,7.968401853785475e-28,9.678762434990106e-50,2.76601240449473e-139,2.061027648888509e-43,1.6124423622495424e-48,3.1006808622027143e-151,2.165519899376367e-48,2.9953799641982796e-49,1.5747609351526083e-141,5.642561048126379e-28,8.161103820764296e-48,0.6999051744007968,0.11394189596532726,1.0,1.0,0.0,0.0,0.25121177604196926,0.27847203909111096,0.8226644533343336,0.12886669169557,1.0,1.0,0.0,0.0,0.307418561898203,0.320324306701266,0.847,0.132,1.0,1.0,0.0,0.0,0.3601676286407771,0.33866014039253384,0.3546334097080144,0.06838882199783734,1.0,1.0,0.0,0.0,0.35168372591543456,0.21447459963969337,0.534719641485965,0.08754761904761905,1.0,1.0,0.0,0.0,0.4222618426214197,0.25541748759286564,0.4070811653549968,0.08303932178932177,1.0,1.0,0.0,0.0,0.3817999011284633,0.2490411205738469,0.43005106986805697,0.0809589962004118,1.0,1.0,0.0,0.0,0.36822323312329625,0.2375569985573311
1,gemma2_9b,0.020270596964392183,3.849837632936111e-26,5.657175325683627e-26,0.006172822996964683,3.867685969136301e-53,5.898197687261439e-52,0.028783965875738372,1.0811134985617704e-50,1.95571264380012e-51,0.030030030930352825,2.6269442368705847e-27,1.1128465052011587e-27,0.8074447241547114,0.8131721556552711,1.0,1.0,0.0,0.0,0.17113052672418375,0.16635503604839932,0.974868137353121,0.9670031387671576,1.0,1.0,0.0,0.0,0.10478718410683517,0.12051419307219957,0.9,0.915,1.0,1.0,0.0,0.0,0.3001501125938321,0.2790212408632233,0.4612184766703856,0.4668075389121992,1.0,1.0,0.0,0.0,0.3523797322636519,0.3414227957133923,0.6098998000925953,0.5986174391584507,1.0,1.0,0.0,0.0,0.388789512905585,0.3762488003838934,0.5410702267155119,0.5686894659261237,1.0,1.0,0.0,0.0,0.3727103604273197,0.3697024441401333,0.5474660351110133,0.557513328198656,1.0,1.0,0.0,0.0,0.35570689985263565,0.3474186723312417
2,gemma3_4b,0.33579167163904167,7.612287947153451e-28,2.3358234139364904e-26,0.0001636866113178586,3.438695005343427e-45,1.8256614885874162e-45,1.787313578665789e-12,4.8618032968618615e-49,4.622887674755269e-46,0.14881928905446667,8.970745658392969e-23,2.7385272810803966e-21,0.6931324942279645,0.6848187051773105,1.0,1.0,0.0,0.0,0.21456966345217898,0.21568181841483008,0.8399221632143764,0.883622750118291,1.0,1.0,0.0,0.0,0.3100542381849421,0.2405234050309369,0.863,0.781,1.0,1.0,0.0,0.0,0.3440194025768741,0.41377555535605315,0.29592223788780414,0.30481396889820317,1.0,1.0,0.0,0.0,0.3096530605474965,0.30645407255853596,0.4391189281306929,0.4529611903619256,1.0,1.0,0.0,0.0,0.3953529115884251,0.38055911820818944,0.3754384150510723,0.39013635607056985,1.0,1.0,0.0,0.0,0.36377058938581647,0.3669666829212467,0.3764753194695177,0.3898333654136408,1.0,1.0,0.0,0.0,0.34329795213211145,0.3373467556142401
3,llama3.1,0.05823645219315774,3.9102280850872413e-26,4.7211432350762067e-26,9.057600485100239e-10,7.981735072386385e-49,3.0857692185879543e-44,0.05859475373947406,5.286717863551278e-48,5.082395854204008e-47,1.5444248605722607e-05,7.453798041163158e-32,3.784620650383351e-30,0.7188067918453812,0.6721456854504806,1.0,1.0,0.0,0.0,0.2526940972767173,0.28639953619148506,0.8894379599084674,0.7654779865567366,1.0,1.0,0.0,0.0,0.2847765435351494,0.40619845450091463,0.837,0.81,1.0,1.0,0.0,0.0,0.36955049393495276,0.39249720260666066,0.3464283927905843,0.3486147204639838,1.0,1.0,0.0,0.0,0.3305665354309073,0.3079509048635396,0.5024754750967987,0.4797510132378553,1.0,1.0,0.0,0.0,0.3946381863951004,0.3730899783866709,0.42049869371253035,0.46007840837284286,1.0,1.0,0.0,0.0,0.37159351500063353,0.3794327597307523,0.4299824156276762,0.4409590697947056,1.0,1.0,0.0,0.0,0.35255827390116595,0.3404703836146246
4,llama318binstructq3_K_L,0.00817278177460361,3.557051838090185e-27,3.03707759278584e-26,0.348960314337593,6.338705371582923e-48,1.5552989716556839e-46,1.210608755986103e-07,2.4458738017303833e-47,9.834356982817529e-45,0.0030634073893810987,1.3853545661042273e-32,4.270284665829747e-30,0.7054727691691376,0.6754388235169921,1.0,1.0,0.0,0.0,0.2793865108531522,0.28782807748686257,0.8641944391918288,0.8367788778285091,1.0,1.0,0.0,0.0,0.32049184073796144,0.34687375962858125,0.819,0.735,1.0,1.0,0.0,0.0,0.3852108349818153,0.44155403969386353,0.3540225930049112,0.36647715204541864,1.0,1.0,0.0,0.0,0.34261375268370414,0.3262169689364793,0.5026609220243121,0.5044066874995018,1.0,1.0,0.0,0.0,0.4022014853782159,0.38485002525184847,0.4242882597243308,0.46157920742557207,1.0,1.0,0.0,0.0,0.38121807152418863,0.38136011574343687,0.4332238683155839,0.454537592722467,1.0,1.0,0.0,0.0,0.3624049749789724,0.35088109857653005
5,mistral_7b,0.025804411584920344,7.080879057281225e-36,8.196049930547108e-30,2.4523185434696834e-07,6.294476534904293e-38,1.0632790400542872e-42,8.92713760336173e-27,2.0204014748457833e-49,2.661871615973142e-44,0.6021773567060066,3.224251225687191e-18,9.742756275738993e-30,0.6287878565720945,0.6025749996792581,1.0,1.0,0.0,0.0,0.2436278437842266,0.3076573347210322,0.7083594187922782,0.7641396472852603,1.0,1.0,0.0,0.0,0.37979285587214345,0.3788141616846013,0.872,0.718,1.0,1.0,0.0,0.0,0.33425697857745273,0.45019848809017415,0.2591675164419091,0.24790055383301857,1.0,1.0,0.0,0.0,0.35809036524184906,0.27996815526479785,0.39282467532467535,0.37052640251904956,1.0,1.0,0.0,0.0,0.4422308434213328,0.36948516548279037,0.28043810954772913,0.33499192743906486,1.0,1.0,0.0,0.0,0.3723576358667082,0.3605778263159051,0.30600415092400535,0.32558535175251396,1.0,1.0,0.0,0.0,0.3780287750481774,0.3262688815631856
6,phi3_medium,6.961521434620734e-16,6.034475853432246e-47,1.0662007040735172e-36,6.979394372047266e-63,4.24628199465093e-46,9.118437689059814e-39,0.2855268347782985,1.3233478492909118e-41,1.363876622093056e-41,1.3016161581871153e-29,8.908476013564046e-33,5.2165311893241895e-28,0.256539954543476,0.4368245039950099,1.0,1.0,0.0,0.0,0.2916924505572089,0.343133553161419,0.16978606306528676,0.5762647678244078,1.0,1.0,0.0,0.0,0.3497492017525545,0.4575381746479764,0.483,0.508,1.0,1.0,0.0,0.0,0.4999609594367954,0.5001861515337926,0.0982607089262989,0.1736480827149758,1.0,1.0,0.0,0.0,0.2524783020121037,0.26962952216694397,0.14490858585858588,0.254542485770934,1.0,1.0,0.0,0.0,0.31513282707469553,0.34143579615434966,0.11060519672458989,0.23780005982580923,1.0,1.0,0.0,0.0,0.2743997369588684,0.344538272658471,0.1168338005651413,0.22620874416062184,1.0,1.0,0.0,0.0,0.2741195717403694,0.3099799674236377
7,qwen2_7b,0.009995236549930418,2.117988391336762e-34,1.5598507060854763e-31,1.585017724711424e-28,3.52217040757312e-36,3.01639771293989e-41,0.13226351091539704,5.961230433590474e-47,1.2525481830064403e-47,1.1464850802664207e-18,5.471147163974093e-15,1.9936289946786906e-26,0.540062760604638,0.6097885352333147,1.0,1.0,0.0,0.0,0.25285022977787397,0.2573028866158051,0.5609200679824917,0.7325780428549733,1.0,1.0,0.0,0.0,0.44140364246924974,0.3982005834609246,0.808,0.827,1.0,1.0,0.0,0.0,0.3940701603665156,0.3784365392165696,0.19265612881859556,0.19811632223710077,1.0,1.0,0.0,0.0,0.27750179854456186,0.24838848301393118,0.32203859404062246,0.2797304209826757,1.0,1.0,0.0,0.0,0.3721674995968454,0.31511702192231833,0.24316101852460775,0.30792384744899787,1.0,1.0,0.0,0.0,0.3340840068585836,0.3599137537526045,0.25126821383142245,0.2697875628449707,1.0,1.0,0.0,0.0,0.3153129796254046,0.2998972784876645
